Episode,Loss
542,39483588.16015625
543,40234389.75390625
544,41794457.2421875
545,41761553.52734375
546,42049265.3671875
547,42560131.21875
548,38279251.611328125
549,43065934.9921875
550,42761137.08984375
551,44145623.71875
552,45199732.421875
553,45980115.40234375
554,44265632.6328125
555,44145691.82421875
556,43440796.2578125
557,41834802.796875
558,43073534.93359375
559,41108218.14453125
560,39997673.7890625
561,41214086.7265625
562,38856466.08984375
563,38475438.21484375
564,38802398.40234375
565,37156621.08203125
566,37641746.7265625
567,35144236.734375
568,36512556.8203125
569,36920617.37109375
570,38415930.01953125
571,36565292.4921875
572,36855409.89453125
573,36975457.98046875
574,36595195.9765625
575,36474402.375
576,36070466.23828125
577,34171628.14453125
578,34356140.34375
579,33631166.7421875
580,33099627.36328125
581,32983052.78125
582,31137789.6796875
583,31557106.2265625
584,30370780.66015625
585,29356257.0234375
586,28881048.2109375
587,27911987.22265625
588,27515266.685546875
589,27022884.47265625
590,27160620.9921875
591,26142821.57421875
592,26542802.62890625
593,26497289.2890625
594,26190151.369140625
595,26460666.25390625
596,26484154.08984375
597,26534316.169921875
598,25169685.81640625
599,24234925.857421875
600,23699127.412109375
601,24543777.05859375
602,24537259.5234375
603,24002227.6171875
604,24698839.83203125
605,24576383.47265625
606,23691430.92578125
607,23674095.39453125
608,24561032.79296875
609,25324789.140625
610,24247866.681640625
611,24196175.73046875
612,23515060.37109375
613,22857603.8984375
614,22684650.9609375
615,22598981.8203125
616,21962230.892578125
617,22177909.78125
618,21717669.685546875
619,22083030.953125
620,23010459.4921875
621,23379865.154296875
622,23067733.671875
623,23071014.724609375
624,23262403.15234375
625,22293260.76171875
626,22249698.80078125
627,21651946.193359375
628,21670594.298828125
629,21457085.2734375
630,20616920.771484375
631,20352170.986328125
632,20648069.85546875
633,20271485.63671875
634,21345672.630859375
635,21342642.3125
636,21910052.40625
637,21592411.341796875
638,21101607.416015625
639,21316860.0
640,20086538.25390625
641,22020590.640625
642,21396830.27734375
643,21806456.1015625
644,22285661.671875
645,21566647.681640625
646,22965881.55859375
647,22817014.45703125
648,21581318.13671875
649,21756047.2890625
650,21961278.58203125
651,22553509.828125
652,22694248.919921875
653,23522173.681640625
654,22172672.537109375
655,24643248.830078125
656,24564646.984375
657,24384079.71875
658,25031892.791015625
659,26211280.4453125
660,25352183.36328125
661,24859837.486328125
662,24754576.09765625
663,25606570.91796875
664,25939952.2734375
665,26307442.66796875
666,26276548.9609375
667,25322700.111328125
668,27295865.484375
669,26279930.46484375
670,26838362.201171875
671,26225379.65625
672,26123028.740234375
673,26281774.689453125
674,27095104.701171875
675,25998429.025390625
676,26510981.658203125
677,25424718.90625
678,26079637.474609375
679,24595447.09375
680,26721516.029296875
681,26626528.62109375
682,25657319.9921875
683,25173875.08984375
684,25384753.61328125
685,26324948.34375
686,26112704.869140625
687,25357381.09375
688,25284365.232421875
689,25889594.97265625
690,26532724.91015625
691,25526979.880859375
692,25970772.5859375
693,26254668.83984375
694,26107865.31640625
695,25703965.55078125
696,25789595.1953125
697,26397029.005859375
698,28576180.4140625
699,27440665.53515625
700,26809092.736328125
701,25840090.5078125
702,27472618.26171875
703,27788274.140625
704,26605375.01171875
705,27124488.13671875
706,27302920.095703125
707,27750081.28515625
708,26771173.90625
709,26617114.4609375
710,26929841.00390625
711,26858236.4609375
712,27649897.2890625
713,27016287.48828125
714,27491042.0546875
715,28118659.8984375
716,28969465.7734375
717,28586258.3125
718,28998312.5859375
719,29512803.59375
720,29067326.046875
721,29212310.2421875
722,28957666.86328125
723,29361671.4765625
724,30489797.4453125
725,28726589.1484375
726,28300003.1015625
727,29271113.93359375
728,29848489.55859375
729,29097627.61328125
730,29009941.587890625
731,27943152.21484375
732,28227099.8984375
733,30102129.1640625
734,30206279.2421875
735,29570264.5234375
736,31124281.41015625
737,29918402.296875
738,30743896.8125
739,30927154.734375
740,31367968.8984375
741,31871477.140625
742,32479924.98046875
743,33241237.5859375
744,32382432.9609375
745,33262729.94140625
746,35778590.75
747,35775419.11328125
748,37728144.0703125
749,37420919.158203125
750,36298406.375
751,35777432.11328125
752,37824768.81640625
753,39933629.0234375
754,38633577.3515625
755,40046226.1171875
756,39413325.421875
757,39753846.01171875
758,38803803.05078125
759,40357017.69140625
760,39420347.18359375
761,39627968.07421875
762,40798441.2890625
