Episode,Step,d1p,d2p,d3p,A,B,CRI,x,y,Reward,Action
1,175,31.0,10.0,28.0,89.83083806931968,3.761577127063613,95.79778911010324,0.3203594797129933,0.3311886216543922,-5,"['d2', 'backward']"
1,176,31.0,9.0,28.0,87.87492278452382,3.597975488054591,95.16731994604284,0.3216407162389931,0.33130198094718905,-5,"['d2', 'backward']"
1,177,31.0,8.0,28.0,85.49356591381408,3.417791886539825,94.65197098814794,0.3224134131464139,0.3311807540831651,-5,"['d2', 'backward']"
1,178,31.0,7.0,28.0,82.74268924379184,3.2203194633999996,94.25305963074173,0.3226954196840194,0.330843055816059,-5,"['d2', 'backward']"
1,179,32.0,7.0,28.0,82.38965350340463,3.2589282763194936,94.04617779177498,0.3219563034417993,0.329816491958249,-5,"['d1', 'forward']"
1,180,33.0,7.0,28.0,82.03907952959942,3.2956785567258793,93.84206744124872,0.32118141835693165,0.32876782718617265,-5,"['d1', 'forward']"
1,181,33.0,8.0,28.0,84.77088644904049,3.492682909305858,94.20237714906422,0.3211074670816433,0.32921443247739585,5,"['d2', 'forward']"
1,182,32.0,8.0,28.0,85.13512886803541,3.4563528647597033,94.4255392027916,0.32177907241701875,0.33020804929388775,5,"['d1', 'backward']"
1,183,32.0,8.0,27.0,85.26729835255001,3.4321304621122612,94.64636217188068,0.32253906235276125,0.33127892045706636,5,"['d3', 'backward']"
1,184,32.0,8.0,28.0,85.13512886803541,3.4563528647597033,94.4255392027916,0.32177907241701875,0.33020804929388775,-5,"['d3', 'forward']"
1,185,32.0,9.0,28.0,87.52428548021234,3.6364609511688553,94.91991778171918,0.32113158650661416,0.3303958745419634,5,"['d2', 'forward']"
1,186,31.0,9.0,28.0,87.87492278452382,3.597975488054591,95.16731994604284,0.3216407162389931,0.33130198094718905,5,"['d1', 'backward']"
1,187,30.0,9.0,28.0,88.20916283632498,3.556963439395942,95.41742056437013,0.3221092130063123,0.33218482792473675,5,"['d1', 'backward']"
1,188,30.0,10.0,28.0,90.13252463598278,3.7203251410642877,96.06909528495103,0.3206829162460589,0.33199126778961185,5,"['d2', 'forward']"
1,189,30.0,9.0,28.0,88.20916283632498,3.556963439395942,95.41742056437013,0.3221092130063123,0.33218482792473675,-5,"['d2', 'backward']"
